# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ex3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = ex3_2.data.R
# init = 2 (Default)
# random
#   seed = 4133938453
# output
#   file = ex3_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu1,mu2,sigma
# Adaptation terminated
# Step size = 1.16254
# Diagonal elements of inverse mass matrix:
# 0.618174, 0.869076, 0.0102552
-98.7594,1,1.16254,2,3,0,99.5471,-0.0428219,0.868105,4.81757
-100.164,0.78439,1.16254,2,3,0,100.318,-1.10002,0.952009,4.25021
-98.9657,1,1.16254,2,3,0,100.176,-0.039273,2.01743,4.60088
-98.6828,0.994983,1.16254,1,3,0,98.9288,0.136767,1.52436,4.72503
-99.6797,0.841169,1.16254,2,3,0,100.453,-0.187306,1.92898,5.18589
-100.178,0.983665,1.16254,2,3,0,100.408,-0.591422,2.52038,5.0177
-99.1858,1,1.16254,2,3,0,100.406,-0.0853954,0.14703,4.3216
-99.5854,0.957014,1.16254,2,3,0,99.6515,0.864758,2.25953,4.86263
-99.7972,0.682014,1.16254,2,3,0,103.823,-0.277935,0.186263,5.19231
-99.6258,0.980093,1.16254,2,3,0,100.432,1.20403,1.99535,4.51867
-99.9335,0.943852,1.16254,2,3,0,100.676,-0.635606,0.448284,5.20333
-99.362,0.984389,1.16254,2,3,0,100.569,1.27769,1.13705,4.48998
-99.6305,0.959851,1.16254,2,3,0,100.322,-0.247507,-0.224307,4.86337
-99.6305,0.297431,1.16254,2,3,0,105.244,-0.247507,-0.224307,4.86337
-99.6305,0.668204,1.16254,1,1,0,101.481,-0.247507,-0.224307,4.86337
-99.3496,0.944776,1.16254,2,3,0,100.806,0.0329567,2.40446,4.62804
-99.9635,0.872041,1.16254,2,3,0,100.357,0.793578,-0.482093,4.75922
-100.851,0.756708,1.16254,2,3,0,103.81,-0.021632,3.27072,4.52244
-99.2822,0.859145,1.16254,2,3,0,101.973,-0.624062,0.371665,4.65672
-100.732,0.577783,1.16254,2,3,0,102.069,1.29535,-0.0826676,5.29886
-100.443,0.999507,1.16254,2,3,0,101.017,-0.845184,2.30335,4.25179
-99.2579,1,1.16254,2,3,0,100.147,0.971409,0.706038,4.92289
-103.718,0.628841,1.16254,2,3,0,105.727,-1.02832,-1.9863,5.12511
-104.126,0.983289,1.16254,2,3,0,106.563,-2.47509,-0.104264,5.43629
-103.68,0.852521,1.16254,2,3,0,108.595,-1.58348,3.21274,4.29855
-100.6,1,1.16254,2,3,0,103.592,0.895553,1.24179,5.57647
-99.3122,0.932024,1.16254,2,3,0,101.757,-0.128399,0.990186,4.04238
-98.8094,0.90691,1.16254,2,3,0,100.032,0.514461,1.25118,4.85666
-98.6244,0.878574,1.16254,2,3,0,99.8705,0.0842917,0.939891,4.34829
-100.256,0.754478,1.16254,1,1,0,100.284,-0.504392,1.29278,3.90043
